4, B&C_RLX, B&C_RLX_70, B&C_RLX_40, B&C_RLX_10
../datasetGenerator/randDataset1SEC.tsp, 530.519532, 535.246726, 1484.925872, 750.478175
../datasetGenerator/randDataset2SEC.tsp, 49.149162, 42.212412, 47.716312, 48.748512
../datasetGenerator/randDataset3SEC.tsp, 43.762206, 34.169662, 34.152889, 43.835402
../datasetGenerator/randDataset4SEC.tsp, 26.782189, 19.077720, 25.480673, 47.169255
../datasetGenerator/randDataset5SEC.tsp, 47.822117, 17.946736, 22.419503, 32.631768
../datasetGenerator/randDataset6SEC.tsp, 110.272902, 64.826171, 60.534816, 55.332793
../datasetGenerator/randDataset7SEC.tsp, 45.265921, 22.782641, 37.484301, 43.785778
../datasetGenerator/randDataset8SEC.tsp, 7.056199, 6.850591, 7.046579, 7.012716
../datasetGenerator/randDataset9SEC.tsp, 80.349540, 57.991597, 38.637858, 78.056769
../datasetGenerator/randDataset10SEC.tsp, 137.999404, 199.030398, 90.330078, 333.863225
../datasetGenerator/randDataset11SEC.tsp, 66.930022, 80.853099, 42.623424, 63.096306
../datasetGenerator/randDataset12SEC.tsp, 49.714542, 32.617470, 46.480215, 50.105852
../datasetGenerator/randDataset13SEC.tsp, 17.034298, 25.269033, 20.458696, 25.537059
../datasetGenerator/randDataset14SEC.tsp, 131.737345, 110.651498, 80.046787, 124.568514
../datasetGenerator/randDataset15SEC.tsp, 15.944448, 31.769991, 16.022846, 22.419990
../datasetGenerator/randDataset16SEC.tsp, 37.126119, 41.406524, 27.618858, 43.869985
../datasetGenerator/randDataset17SEC.tsp, 70.175538, 119.949676, 117.905878, 94.890240
../datasetGenerator/randDataset18SEC.tsp, 62.212077, 57.693292, 28.606649, 50.484205
../datasetGenerator/randDataset19SEC.tsp, 70.164195, 60.315990, 64.455981, 69.972168
../datasetGenerator/randDataset20SEC.tsp, 49.360721, 71.723011, 154.813970, 63.952824
