3, BENDERS, B&C, B&C_RLX_40
../datasetGenerator/randDataset1SEC.tsp, 239.114573, 107.083874, 1484.925872
../datasetGenerator/randDataset2SEC.tsp, 29.081171, 31.034082, 47.716312
../datasetGenerator/randDataset3SEC.tsp, 27.478505, 34.072706, 34.152889
../datasetGenerator/randDataset4SEC.tsp, 32.569480, 27.546109, 25.480673
../datasetGenerator/randDataset5SEC.tsp, 22.133160, 21.598638, 22.419503
../datasetGenerator/randDataset6SEC.tsp, 71.195746, 59.906513, 60.534816
../datasetGenerator/randDataset7SEC.tsp, 45.342779, 33.082210, 37.484301
../datasetGenerator/randDataset8SEC.tsp, 25.076523, 6.900404, 7.046579
../datasetGenerator/randDataset9SEC.tsp, 66.851692, 42.740257, 38.637858
../datasetGenerator/randDataset10SEC.tsp, 163.994684, 88.117108, 90.330078
../datasetGenerator/randDataset11SEC.tsp, 63.288989, 58.548756, 42.623424
../datasetGenerator/randDataset12SEC.tsp, 45.321392, 23.560467, 46.480215
../datasetGenerator/randDataset13SEC.tsp, 23.730763, 27.729822, 20.458696
../datasetGenerator/randDataset14SEC.tsp, 120.559446, 45.656102, 80.046787
../datasetGenerator/randDataset15SEC.tsp, 20.998959, 20.244499, 16.022846
../datasetGenerator/randDataset16SEC.tsp, 22.301135, 32.000432, 27.618858
../datasetGenerator/randDataset17SEC.tsp, 343.756615, 77.666425, 117.905878
../datasetGenerator/randDataset18SEC.tsp, 56.315838, 46.727010, 28.606649
../datasetGenerator/randDataset19SEC.tsp, 57.266147, 97.566335, 64.455981
../datasetGenerator/randDataset20SEC.tsp, 32.481380, 53.078937, 154.813970
