2,HARD-FIX,SOFT-FIX
../datasetGenerator/matheuristic/randDataset13MATH.tsp, 242425.000000, 233684.000000
../datasetGenerator/matheuristic/randDataset6MATH.tsp, 275719.000000, 237972.000000
../datasetGenerator/matheuristic/randDataset1MATH.tsp, 271878.000000, 231249.000000
../datasetGenerator/matheuristic/randDataset2MATH.tsp, 243225.000000, 234148.000000
../datasetGenerator/matheuristic/randDataset3MATH.tsp, 264763.000000, 3238523.000000
../datasetGenerator/matheuristic/randDataset10MATH.tsp, 242056.000000, 238477.000000
../datasetGenerator/matheuristic/randDataset8MATH.tsp, 251306.000000, 234513.000000
../datasetGenerator/matheuristic/randDataset18MATH.tsp, 245886.000000, 234074.000000
../datasetGenerator/randDatasetPROVA3MATH.tsp, 245988.000000, 233102.000000
../datasetGenerator/matheuristic/randDataset13MATH.tsp, 246425.000000, 230684.000000
../datasetGenerator/matheuristic/randDataset6MATH.tsp, 270719.000000, 229972.000000
../datasetGenerator/matheuristic/randDataset1MATH.tsp, 271878.000000, 231249.000000
../datasetGenerator/matheuristic/randDataset2MATH.tsp, 238225.000000, 236148.000000
../datasetGenerator/matheuristic/randDataset3MATH.tsp, 286763.000000, 3338523.000000
../datasetGenerator/matheuristic/randDataset10MATH.tsp, 242056.000000, 238477.000000
../datasetGenerator/matheuristic/randDataset8MATH.tsp, 239306.000000, 235513.000000
../datasetGenerator/matheuristic/randDataset18MATH.tsp, 248886.000000, 233074.000000
../datasetGenerator/randDatasetPROVA3MATH.tsp, 244988.000000, 236102.000000
../datasetGenerator/matheuristic/randDataset18MATH.tsp, 234886.000000, 234074.000000
../datasetGenerator/randDatasetPROVA3MATH.tsp, 263988.000000, 244102.000000
