3, BND, BAC_I, BAC_I_R
../datasetGenerator/randDataset1.tsp, 240.881887, 163.055715, 149.340990
../datasetGenerator/randDataset2.tsp, 68.044801, 233.052617, 118.482853
../datasetGenerator/randDataset3.tsp, 93.065368, 46.875551, 140.724132
../datasetGenerator/randDataset4.tsp, 72.942789, 75.603327, 52.531711
../datasetGenerator/randDataset5.tsp, 142.888353, 112.364466, 99.255918
../datasetGenerator/randDataset6.tsp, 255.640389, 155.096996, 178.454118
../datasetGenerator/randDataset7.tsp, 139.607854, 73.941855, 91.894514
../datasetGenerator/randDataset8.tsp, 1059.601202, 577.116731, 3600.698572
../datasetGenerator/randDataset9.tsp, 123.656135, 154.217029, 146.542232
../datasetGenerator/randDataset10.tsp, 178.851923, 151.497873, 173.735892
../datasetGenerator/randDataset11.tsp, 410.952039, 289.582494, 354.028763
../datasetGenerator/randDataset12.tsp, 273.652121, 167.317090, 245.992376
../datasetGenerator/randDataset13.tsp, 410.263453, 264.165002, 458.588502
../datasetGenerator/randDataset14.tsp, 446.561397, 546.536788, 1262.710884
../datasetGenerator/randDataset15.tsp, 158.626058, 161.718827, 120.243292
../datasetGenerator/randDataset16.tsp, 251.389131, 136.741072, 164.368521
../datasetGenerator/randDataset17.tsp, 361.326688, 94.307060, 149.489096
../datasetGenerator/randDataset18.tsp, 85.735164, 87.508833, 118.530017
../datasetGenerator/randDataset19.tsp, 332.338830, 185.963095, 490.384395
../datasetGenerator/randDataset20.tsp, 122.664104, 148.910046, 168.871148
../datasetGenerator/randDataset21.tsp, 131.053583, 180.124290, 150.344403
../datasetGenerator/randDataset22.tsp, 78.947788, 66.360508, 122.709168
../datasetGenerator/randDataset23.tsp, 89.891170, 105.917639, 94.895058
../datasetGenerator/randDataset24.tsp, 138.232714, 117.782121, 97.679704
../datasetGenerator/randDataset25.tsp, 102.507033, 145.453860, 131.852418
../datasetGenerator/randDataset26.tsp, 703.138585, 279.069425, 288.241291
../datasetGenerator/randDataset27.tsp, 106.089238, 119.966028, 124.130034
../datasetGenerator/randDataset28.tsp, 245.643167, 110.673710, 123.826746
../datasetGenerator/randDataset29.tsp, 90.039379, 183.310929, 73.588774
../datasetGenerator/randDataset30.tsp, 99.550944, 72.379398, 96.489424
